Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Month,Region,Classes
34.5,72,22.0,0.16,77.9,20.1,250.0,15.8,41.7,60.0,6,Bejaia,fire
31.3,89,19.6,0.87,73.2,26.2,191.3,13.5,25.2,32.8,7,Sidi Bel-Abbes,not fire
35.2,30,15.3,0.34,92.7,63.7,250.2,13.4,59.8,60.0,6,Bejaia,fire
39.6,65,11.8,0.04,91.0,35.2,360.5,16.7,50.0,60.0,8,Bejaia,fire
30.8,43,18.5,0.03,96.0,48.2,227.1,13.8,39.7,52.8,6,Bejaia,fire
30.8,46,17.0,0.2,96.0,53.9,270.0,13.9,55.1,60.0,9,Sidi Bel-Abbes,fire
39.9,44,19.5,0.77,96.0,46.4,255.2,19.4,53.8,60.0,8,Sidi Bel-Abbes,fire
35.8,39,18.2,0.61,96.0,42.8,310.9,13.4,48.3,57.1,7,Sidi Bel-Abbes,fire
29.7,56,20.2,0.78,79.1,41.5,274.8,12.9,40.8,53.1,8,Sidi Bel-Abbes,fire
34.7,40,12.3,0.36,92.6,52.1,362.4,12.7,61.8,60.0,9,Sidi Bel-Abbes,fire
29.7,60,21.6,0.29,82.9,34.9,236.7,16.5,40.7,60.0,8,Bejaia,fire
29.7,54,16.0,0.08,85.5,35.7,281.0,13.8,48.7,60.0,6,Bejaia,not fire
33.2,51,25.4,0.2,90.6,45.0,269.0,14.1,54.1,60.0,7,Bejaia,fire
22.4,39,11.6,0.28,87.3,12.3,274.1,11.1,33.2,30.3,9,Sidi Bel-Abbes,not fire
23.4,45,23.7,0.05,78.4,34.9,180.5,13.7,44.8,60.0,8,Sidi Bel-Abbes,fire
29.2,69,16.0,0.12,87.8,35.8,281.9,13.4,47.2,60.0,8,Bejaia,fire
26.9,64,11.7,0.46,78.9,19.6,220.4,12.3,30.1,40.7,9,Sidi Bel-Abbes,fire
33.6,37,12.6,0.67,96.0,48.0,258.0,14.2,41.7,60.0,9,Sidi Bel-Abbes,fire
27.5,57,13.4,3.2,96.0,11.2,209.9,10.1,25.3,22.7,9,Sidi Bel-Abbes,fire
24.9,69,17.1,1.35,77.3,20.8,223.8,15.0,31.1,43.2,6,Bejaia,not fire
